author_scopus_id,tcin_author,title,url,cover_date,citations,journal,issn,eissn,journal_norm,issn_norm,eissn_norm,impact_from_eissn,impact_from_issn,impact_from_journal,impact_factor,impact_match_source,impact_band
6602566280,"Bokde, Arun L.W.","Correction: Applicability of in vivo staging of regional amyloid burden in a cognitively normal cohort with subjective memory complaints: the INSIGHT-preAD study (Alzheimer's Research & Therapy, (2019), 11, 1, (15), 10.1186/s13195-019-0466-3)",https://api.elsevier.com/content/abstract/scopus_id/85138384584,2022-12-01,0,Alzheimer S Research and Therapy,,17589193,alzheimer s research and therapy,,17589193,13.0,,13.0,13.0,eissn,8-16
6602566280,"Bokde, Arun L.W.",Copy-number variants in the contactin-5 gene are a potential risk factor for autism spectrum disorder,https://api.elsevier.com/content/abstract/scopus_id/85140731403,2022-11-01,1,Research in Autism Spectrum Disorders,17509467,18780237,research in autism spectrum disorders,17509467,18780237,3.7,3.7,3.7,3.7,eissn,2-4
6602566280,"Bokde, Arun L.W.",A Developmental Perspective on Facets of Impulsivity and Brain Activity Correlates From Adolescence to Adulthood,https://api.elsevier.com/content/abstract/scopus_id/85129043424,2022-11-01,8,Biological Psychiatry Cognitive Neuroscience and Neuroimaging,24519022,24519030,biological psychiatry cognitive neuroscience and neuroimaging,24519022,24519030,10.7,10.7,10.7,10.7,eissn,8-16
6602566280,"Bokde, Arun L.W.",Sex differences in neural correlates of common psychopathological symptoms in early adolescence,https://api.elsevier.com/content/abstract/scopus_id/85103355349,2022-10-26,4,Psychological Medicine,00332917,14698978,psychological medicine,00332917,14698978,13.2,13.2,13.2,13.2,eissn,8-16
6602566280,"Bokde, Arun L.W.",Global and Regional Structural Differences and Prediction of Autistic Traits during Adolescence,https://api.elsevier.com/content/abstract/scopus_id/85139619686,2022-09-01,8,Brain Sciences,,20763425,brain sciences,,20763425,5.6,,5.6,5.6,eissn,4-8
6602566280,"Bokde, Arun L.W.",Orbitofrontal control of conduct problems? Evidence from healthy adolescents processing negative facial affect,https://api.elsevier.com/content/abstract/scopus_id/85104804410,2022-08-01,1,European Child and Adolescent Psychiatry,10188827,1435165X,european child and adolescent psychiatry,10188827,1435165X,12.1,12.1,12.1,12.1,eissn,8-16
6602566280,"Bokde, Arun L.W.",Brain Signatures During Reward Anticipation Predict Persistent Attention-Deficit/Hyperactivity Disorder Symptoms,https://api.elsevier.com/content/abstract/scopus_id/85123831563,2022-08-01,10,Journal of the American Academy of Child and Adolescent Psychiatry,08908567,15275418,journal of the american academy of child and adolescent psychiatry,08908567,15275418,16.6,16.6,16.6,16.6,eissn,16-32
6602566280,"Bokde, Arun L.W.",Longitudinal Trajectory of the Link Between Ventral Striatum and Depression in Adolescence,https://api.elsevier.com/content/abstract/scopus_id/85133303935,2022-07-01,27,American Journal of Psychiatry,0002953X,15357228,american journal of psychiatry,0002953X,15357228,21.4,21.4,21.4,21.4,eissn,16-32
6602566280,"Bokde, Arun L.W.",Structural differences in adolescent brains can predict alcohol misuse,https://api.elsevier.com/content/abstract/scopus_id/85133646416,2022-05-01,17,Elife,,2050084X,elife,,2050084X,12.9,,12.9,12.9,eissn,8-16
6602566280,"Bokde, Arun L.W.",Brain structural covariance network differences in adults with alcohol dependence and heavy-drinking adolescents,https://api.elsevier.com/content/abstract/scopus_id/85128161016,2022-05-01,11,Addiction,09652140,13600443,addiction,09652140,13600443,11.4,11.4,11.4,11.4,eissn,8-16
6602566280,"Bokde, Arun L.W.",Orbitofrontal cortex volume links polygenic risk for smoking with tobacco use in healthy adolescents,https://api.elsevier.com/content/abstract/scopus_id/85091416300,2022-04-03,4,Psychological Medicine,00332917,14698978,psychological medicine,00332917,14698978,13.2,13.2,13.2,13.2,eissn,8-16
6602566280,"Bokde, Arun L.W.",Associations of delay discounting and drinking trajectories from ages 14 to 22,https://api.elsevier.com/content/abstract/scopus_id/85133569896,2022-04-01,18,Alcoholism Clinical and Experimental Research,01456008,15300277,alcoholism clinical and experimental research,01456008,15300277,5.9,5.9,5.9,5.9,eissn,4-8
6602566280,"Bokde, Arun L.W.","Predicting Depression Onset in Young People Based on Clinical, Cognitive, Environmental, and Neurobiological Data",https://api.elsevier.com/content/abstract/scopus_id/85127179326,2022-04-01,30,Biological Psychiatry Cognitive Neuroscience and Neuroimaging,24519022,24519030,biological psychiatry cognitive neuroscience and neuroimaging,24519022,24519030,10.7,10.7,10.7,10.7,eissn,8-16
6602566280,"Bokde, Arun L.W.",Genetic variants associated with longitudinal changes in brain structure across the lifespan,https://api.elsevier.com/content/abstract/scopus_id/85127652829,2022-04-01,140,Nature Neuroscience,10976256,15461726,nature neuroscience,10976256,15461726,35.4,35.4,35.4,35.4,eissn,32+
6602566280,"Bokde, Arun L.W.",Global urbanicity is associated with brain and behaviour in young people,https://api.elsevier.com/content/abstract/scopus_id/85119354005,2022-02-01,54,Nature Human Behaviour,,23973374,nature human behaviour,,23973374,31.0,,31.0,31.0,eissn,16-32
